"Source:","/home/antonio/dev/theia/THEIA/THEIA.kicad_sch"
"Date:","So 10 Apr 2022 12:37:45 CEST"
"Tool:","Eeschema 6.0.4-6f826c9f35~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","155"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","AVAILABILITY","DESCRIPTION","Digi-Key_Part-Number","Digi-Key_Part_Number","Digi-Key_Part_number","Digi-Key_partNumber","GEOMETRY_HEIGHT","MANUFACTURER","MF","MP","Manufacturer","ORDERCODE-MANU1","PACKAGE","PRICE","VALUE"
"","","H2","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_4.3mm_M4_Pad_Via","~","","","","","","","","","","","","","","",""
"","","H3","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_4.3mm_M4_Pad_Via","~","","","","","","","","","","","","","","",""
"","","H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_4.3mm_M4_Pad_Via","~","","","","","","","","","","","","","","",""
"","","H5","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_4.3mm_M4_Pad_Via","~","","","","","","","","","","","","","","",""
"","","H6","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_4.3mm_M4_Pad_Via","~","","","","","","","","","","","","","","",""
"","","IC1","TMC5160-TA","TMC5160-TA:TMC5160-TA","Package_QFP:TQFP-48-1EP_7x7mm_P0.5mm_EP5x5mm_ThermalVias","","","Universal high voltage controller for two-phase bipolar stepper motor. TQFP48-EP","","","","","1.2mm","TRINAMIC","","","","TMC5160-TA","","","TMC5160-TA"
"","","J1","Conn_01x03_Female","Connector:Conn_01x03_Female","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"","","J2","Conn_01x03_Female","Connector:Conn_01x03_Female","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"","","J3","Conn_01x04_Male","Connector:Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"","","J4","Conn_01x03_Female","Connector:Conn_01x03_Female","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"","","J5","Conn_01x03_Female","Connector:Conn_01x03_Female","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"","","J6","Conn_01x04_Female","Connector:Conn_01x04_Female","Connector_Molex:Molex_Micro-Fit_3.0_43650-0410_1x04-1MP_P3.00mm_Horizontal","~","","","","","","","","","","","","","","",""
"","","J7","Conn_01x05_Female","Connector:Conn_01x05_Female","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"","","J8","~","Connector:Conn_01x05_Female","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"","","J9","Conn_01x05_Female","Connector:Conn_01x05_Female","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"","","J10","~","Connector:Conn_01x06_Female","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"","","J11","~","Connector:Conn_01x04_Female","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"","","J12","Conn_01x04_Female","Connector:Conn_01x04_Female","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"","","J13","~","Connector:Conn_01x04_Female","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"","","J14","Conn_01x20_Male","Connector:Conn_01x20_Male","Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"","","J15","Conn_01x20_Male","Connector:Conn_01x20_Male","Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"","","J16","Conn_01x03_Male","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"","","J17","Conn_01x03_Male","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"","","J18","Conn_01x02_Female","Connector:Conn_01x02_Female","Connector_Molex:Molex_Micro-Fit_3.0_43650-0221_1x02_P3.00mm_Vertical","~","","","","","","","","","","","","","","",""
"","","J19","~","Connector:Conn_01x01_Female","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"","","J20","~","Connector:Conn_01x01_Female","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"","","J21","Conn_01x03_Female","Connector:Conn_01x03_Female","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"","","J22","Conn_01x03_Female","Connector:Conn_01x03_Female","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"","","J23","~","Connector:Conn_01x01_Female","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"","","J24","~","Connector:Conn_01x01_Female","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"","","J25","~","105450-0101-USB-C-SNAPEDA:105450-0101","Molex-USB-C:1054500101","","Good","USB Shielded I/O Receptacle; Type C; Right Angle; Surface Mount; Gold over Nickel","","WM12856CT-ND","","","","","Molex","105450-0101","","","None","1.71 USD",""
"","","JP1","Jumper_2_Bridged","Jumper:Jumper_2_Bridged","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"","","JP2","Jumper_2_Bridged","Jumper:Jumper_2_Bridged","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"","","JP3","Jumper_2_Bridged","Jumper:Jumper_2_Bridged","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"","","JP4","Jumper_2_Bridged","Jumper:Jumper_2_Bridged","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"","","JP5","~","Jumper:Jumper_2_Bridged","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"","","JP6","Jumper_2_Bridged","Jumper:Jumper_2_Bridged","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"","","JP7","Jumper_2_Bridged","Jumper:Jumper_2_Bridged","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"","","JP8","Jumper_2_Bridged","Jumper:Jumper_2_Bridged","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"","","JP9","Jumper_2_Bridged","Jumper:Jumper_2_Bridged","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"","","JP10","Jumper_2_Bridged","Jumper:Jumper_2_Bridged","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"","","JP11","Jumper_2_Bridged","Jumper:Jumper_2_Bridged","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"","","Q1","IRLZ44N-SPBF","knownParts:IRLZ44N-SPBF","Package_TO_SOT_SMD:TO-263-2","https://www.infineon.com/dgdl/irlz44nspbf.pdf?fileId=5546d462533600a40153567221272727","","","","IRLZ44NSPBF-ND","","","","","","IRLZ44NSPBF","Infineon Technologies","","","",""
"","","Q2","IRLZ44N-SPBF","knownParts:IRLZ44N-SPBF","Package_TO_SOT_SMD:TO-263-2","https://www.infineon.com/dgdl/irlz44nspbf.pdf?fileId=5546d462533600a40153567221272727","","","","IRLZ44NSPBF-ND","","","","","","IRLZ44NSPBF","Infineon Technologies","","","",""
"","","Q3","IRLZ44N-SPBF","knownParts:IRLZ44N-SPBF","Package_TO_SOT_SMD:TO-263-2","https://www.infineon.com/dgdl/irlz44nspbf.pdf?fileId=5546d462533600a40153567221272727","","","","IRLZ44NSPBF-ND","","","","","","IRLZ44NSPBF","Infineon Technologies","","","",""
"","","Q4","IRLZ44N-SPBF","knownParts:IRLZ44N-SPBF","Package_TO_SOT_SMD:TO-263-2","https://www.infineon.com/dgdl/irlz44nspbf.pdf?fileId=5546d462533600a40153567221272727","","","","IRLZ44NSPBF-ND","","","","","","IRLZ44NSPBF","Infineon Technologies","","","",""
"","","Q5","IRLZ44N-SPBF","knownParts:IRLZ44N-SPBF","Package_TO_SOT_SMD:TO-263-2","https://www.infineon.com/dgdl/irlz44nspbf.pdf?fileId=5546d462533600a40153567221272727","","","","IRLZ44NSPBF-ND","","","","","","IRLZ44NSPBF","Infineon Technologies","","","",""
